시·도,도시,"측정소코드",측정소명
서울,서울,111121,중구
,,111123,종로구
,,111131,용산구
,,111141,광진구
,,111142,성동구
,,111151,중랑구
,,111152,동대문구
,,111161,성북구
,,111171,도봉구
,,111181,은평구
,,111191,서대문구
,,111201,마포구
,,111212,강서구
,,111221,구로구
,,111231,영등포구
,,111241,동작구
,,111251,관악구
,,111261,강남구
,,111262,서초구
,,111273,송파구
,,111274,강동구
,,111281,금천구
,,111291,강북구
,,111301,양천구
,,111311,노원구
부산,부산,221112,광복동
,,221172,대연동
,,221181,학장동
,,221182,덕천동
,,221202,장림동
,,221152,전포동
,,221221,연산동
,,221141,태종대
,,221191,청룡동
,,221192,좌동
,,221211,대저동
,,221212,녹산동
,,221231,기장읍
,,221251,부곡동
,,221271,광안동
,,221163,명장동
,,221233,용수리
,,221241,수정동
,,221281,대신동
,,221282,덕포동
,,221283,개금동
,,221284,당리동
,,221193,재송동
,,221142,청학동
,,221183,화명동
대구,대구,422114,수창동
,,422115,지산동
,,422121,서호동
,,422132,이현동
,,422141,대명동
,,422153,노원동
,,422154,신암동
,,422155,태전동
,,422161,만촌동
,,422171,호림동
,,422201,유가읍
,,422203,시지동
,,422204,진천동
,,422205,다사읍
,,422206,본동
인천,인천,823611,신흥
,,823621,송림
,,823631,구월
,,823632,숭의
,,823641,부평
,,823651,연희
,,823652,검단
,,823662,계산
,,823671,고잔
,,823681,석남
,,823691,송해
,,823701,동춘
,,823702,운서
,,823704,논현
,,823801,원당
,,823706,송도
,,823705,청라
,,823802,길상
,,823803,삼산
,,831493,영흥
광주,광주,324115,서석동
,,324121,농성동
,,324133,두암동
,,324135,건국동
,,324141,송정1동
,,324142,오선동
,,324155,주월동
,,324124,노대동
,,324148,평동
대전,대전,525111,읍내동
,,525112,문평동
,,525121,문창동
,,525141,구성동
,,525142,노은동
,,525161,성남동
,,525171,정림동
,,525172,둔산동
,,525162,대성동
,,525143,상대동
울산,울산,238120,대송동
,,238121,성남동
,,238122,부곡동
